Date,indicators/cdd
2009-01-12,"36,9017476851852"
2009-01-13,"0,0"
2009-01-14,"76,6742476851852"
2009-01-15,"575,705300925926"
2009-01-16,"408,681712962963"
2009-01-17,"0,0"
2009-01-18,"336,080439814815"
2009-01-19,"3080,10648148148"
2009-01-20,"1507,12905092593"
2009-01-21,"352,490162037037"
2009-01-22,"1967,48148148148"
2009-01-23,"1635,07175925926"
2009-01-24,"2365,34201388889"
2009-01-25,"88,8460648148148"
2009-01-26,"3058,69039351852"
2009-01-27,"281,228009259259"
2009-01-28,"0,0"
2009-01-29,"1498,52662037037"
2009-01-30,"0,0"
2009-01-31,"12310,6984953704"
2009-02-01,"115,096643518519"
2009-02-02,"868,109953703704"
2009-02-03,"325,754861226852"
2009-02-04,"0,0"
2009-02-05,"0,0"
2009-02-06,"0,0"
2009-02-07,"10485,2243518519"
2009-02-08,"7863,28703703704"
2009-02-09,"13623,1400462963"
2009-02-10,"0,0"
2009-02-11,"1198,41475462963"
2009-02-12,"0,0"
2009-02-13,"0,0"
2009-02-14,"0,0"
2009-02-15,"3699,90162037037"
2009-02-16,"6324,31076388889"
2009-02-17,"0,0"
2009-02-18,"0,0"
2009-02-19,"2564,72280092593"
2009-02-20,"0,0"
2009-02-21,"0,0"
2009-02-22,"1983,46469907407"
2009-02-23,"0,0"
2009-02-24,"0,0"
2009-02-25,"0,0"
2009-02-26,"0,0"
2009-02-27,"9944,00868055556"
2009-02-28,"1336,94733796296"
2009-03-01,"0,0"
2009-03-02,"0,0"
2009-03-03,"1611,05844907407"
2009-03-04,"4536,78475208333"
2009-03-05,"932,19212962963"
2009-03-06,"0,0"
2009-03-07,"0,0"
2009-03-08,"5575,09490740741"
2009-03-09,"0,0"
2009-03-10,"0,0"
2009-03-11,"0,0"
2009-03-12,"547,550347222222"
2009-03-13,"2762,87731481481"
2009-03-14,"0,0"
2009-03-15,"0,0"
2009-03-16,"19224,5908564815"
2009-03-17,"0,0"
2009-03-18,"2777,24884259259"
2009-03-19,"0,0"
2009-03-20,"1525,20138888889"
2009-03-21,"0,0"
2009-03-22,"4037,93113425926"
2009-03-23,"0,0"
2009-03-24,"0,0"
2009-03-25,"0,0"
2009-03-26,"5804,42824074074"
2009-03-27,"0,0"
2009-03-28,"4746,96759259259"
2009-03-29,"0,0"
2009-03-30,"0,0"
2009-03-31,"5384,4212962963"
2009-04-01,"0,0"
2009-04-02,"0,0"
2009-04-03,"0,0"
2009-04-04,"0,0"
2009-04-05,"3399,01967592593"
2009-04-06,"0,0"
2009-04-07,"0,0"
2009-04-08,"0,0"
2009-04-09,"0,0"
2009-04-10,"0,0"
2009-04-11,"957,322337962963"
2009-04-12,"3819,06886574074"
2009-04-13,"10,7247685185185"
2009-04-14,"0,0"
2009-04-15,"0,0"
2009-04-16,"0,0"
2009-04-17,"0,0"
2009-04-18,"2887,30628136574"
2009-04-19,"2720,96990740741"
2009-04-20,"102354,090277778"
2009-04-21,"0,0348925925925856"
2009-04-22,"0,0"
2009-04-23,"0,0"
2009-04-24,"0,0"
2009-04-25,"0,0"
2009-04-26,"3163,94502314815"
2009-04-27,"0,0"
2009-04-28,"0,0"
2009-04-29,"5300,38368055556"
2009-04-30,"0,0"
2009-05-01,"0,0"
2009-05-02,"4406,34941712963"
2009-05-03,"25,3605324074074"
2009-05-04,"5524,18171296296"
